Source,Target
Ummiee_,SamuelGalax
DRealIlorinBoy,SamuelGalax
Moyo_VIP,SamuelGalax
dayobabyy,SamuelGalax
Osas_BigEngine,SamuelGalax
dammiedammie35,SamuelGalax
iam_steveola,SamuelGalax
OwnDoctor,SamuelGalax
Eshin_buruku,SamuelGalax
nerdy_dami,SamuelGalax
sportbible,ShafiqIkwan
sportbible,sportbible
Mistakobz,SamuelGalax
minayeon_9,misayeon
AsapReplies,SamuelGalax
baddestcash_,SamuelGalax
OlamideQuadri4,SamuelGalax
tweetsbyspice,SamuelGalax
iamphveektor2,SamuelGalax
mommiez_gal,SamuelGalax
Moefire_,SamuelGalax
9_11_90s,SamuelGalax
_teazzy_,SamuelGalax
pengjeongnam,misayeon
nova1069,ItsBennyBlanco
nova1069,vancejoy
MeetOlamide,SamuelGalax
cutedeyforyou,SamuelGalax
iam_yourgrace,SamuelGalax
NouveauDeco,NouveauDeco
Klatsa_,SamuelGalax
haylesoflagos,SamuelGalax
Talk2_lowell,SamuelGalax
karrenbabe01,SamuelGalax
Tegadeyforyou,SamuelGalax
bigdaddyvinz,SamuelGalax
iam_kiddee,SamuelGalax
iam__remy,SamuelGalax
aystickz,SamuelGalax
ImranSZN,SamuelGalax
_oluwatobiiiii,SamuelGalax
ManLike_Nesta,SamuelGalax
SaySemiloore,SamuelGalax
Capt__Rizzy,SamuelGalax
kayzywizzzy,SamuelGalax
ayamkumputa,SamuelGalax
YorubaBoy__,SamuelGalax
nova919,ItsBennyBlanco
nova919,vancejoy
nova100,ItsBennyBlanco
nova100,vancejoy
nova969,ItsBennyBlanco
nova969,vancejoy
Smallzy,ItsBennyBlanco
Smallzy,vancejoy
gailcarriger,gailcarriger
phil_hellmuth,RemkoRinkema
phil_hellmuth,PokerGO
phil_hellmuth,WPT
tonidoodles,misayeon
SERENDlPITTY,misayeon
Mantra254,PopCrave
Mantra254,ladygaga
evolelizabeth,TheKimbino
omeretta4l,breerunway
DevinCow,kathygriffin
blurboi,LaMaisonGaga_
blurboi,Variety_Film
kaileidoscope14,INTLKJI
kaileidoscope14,KaiNationUnion_
kaileidoscope14,KaiNationUnion_
kaileidoscope14,INTLKJI
blurboi,getFANDOM
blurboi,ladygaga
blurboi,henrydelrey
blurboi,Variety
MANvsGAME,OpusAoA
MRBRIGHTSIDE94,kaileidoscope14
MRBRIGHTSIDE94,kaileidoscope14
feistyfrank,tim__fitzgerald
KaiNationUnion_,Dazed
KaiNationUnion_,thefashionisto
KaiNationUnion_,gucci
evelynvwoodsen,bronze_bombSHEL
bentarabumi,hey_louie
yaboiaaa,ladygaga
PlumAlyssum,EXOXOXOID
Ange_GMM,usatodaylife
PlumAlyssum,EXOXOXOID
HalessiaR,ArthurDomingues
HalessiaR,HalessiaR
EXOfanfess,weareoneEXO
kaileidoscope14,INTLKJI
cyberpr,IAMFASHlON
GetVidBot,Rocsi_Gucci
ETCanada,ladygaga
PatelDevansh,ladygaga
joecimperman,rebeccaarubin
TheMusicSydney,TheMusicComAu
TheMusicMelb,TheMusicComAu
kaileidoscope14,thefashionisto
kaileidoscope14,gucci
kaileidoscope14,Dazed
kaileidoscope14,NYCTastemakers
kaileidoscope14,gucci
EMBOBAD0,EW
Kielhoilett,mpressria
TweetiepieHawly,rebeccaarubin
nikkilipstick,PopBase
girlslovekiyoko,HayleyKiyoko
lauriecrosswell,Variety
everthing_y,Alexand37205786
crashpalace,Variety
freguesto,luguimaraes78
realmrkash,realmrkash
Ange_GMM,PopBase
LuxeTiffany,abbyemonteil
RachelFeltman,juliaccarpenter
Hereiam_cafe,NYCTastemakers
Hereiam_cafe,gucci
Hereiam_cafe,thefashionisto
Hereiam_cafe,gucci
diesgu,billboard
diesgu,ladygaga
blurboi,ComplexPop
blurboi,ladygaga
blurboi,LaMaisonGaga_
BRANDONHILTON,Variety
kentoyiie,fkanico
diante_minaj,PopCrave
diante_minaj,ladygaga
denisewu,cmclymer
marinashutup,northgalis
ohsorafa,breerunway
Shenanigans_luv,mosscj2
RobertoGCarmona,FilmstoFilms_
RobertoGCarmona,ladygaga
StephenBright,IAMFASHlON
ClarissaMBrooks,Oprah_Gucci
TwizleyIconix,PopCrave
TwizleyIconix,ladygaga
stuckonfknyou,henrydelrey
straits_times,ST_LifeTweets
Hereiam_cafe,Dazed
ClarissaMBrooks,Oprah_Gucci
brancowitz,esquire
abc7george,Variety
EMBOBAD0,PopCrave
EMBOBAD0,ladygaga
EMBOBAD0,Variety
NickiSwiftCeleb,ladygaga
steventeaster,gucci
steventeaster,SanremoRai
steventeaster,AchilleIDOL
steventeaster,steventeaster
steventeaster,gucci
steventeaster,SanremoRai
steventeaster,AchilleIDOL
SlayMeQueenGaga,fkanico
TheBookofGinko,DiscussingFilm
blurboi,EW
Complex,ComplexPop
SueLMH17,IAMFASHlON
mystifiedLaLa,breerunway
Ange_GMM,hunteryharris
WrittenByHanna,hunteryharris
ohsorafa,PopBase
ohsorafa,Variety
